URL,Title,isAboriginal,isArts,isBusiness,isCanada,isElections,isGoPublic,isHealth,isPolitics,isTech,isTrending,isWorld,hasSubCategory,hasStoryFlag,numWordsTitle,numNumsTitle,avgLengthWordsTitle,numAuthors,wasMorning,wasAfternoon,wasEvening,wasWeekday,wasWeekend,numSubHeadlines,numParagraphs,numInlineFigures,numVideos,numShares,numLinks,sentiment,numComments
http://www.cbc.ca/news/canada/toronto/kanye-west-parody-video-starring-john-tory-withheld-over-copyright-1.3157389,Kanye West parody video starring John Tory 'withheld' over copyright,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,5,0,1,0,0,1,0,0,11,2,0,44,6,-1,73
http://www.cbc.ca/news/politics/franklin-expedition-ship-found-in-arctic-id-d-as-hms-erebus-1.2784268,Franklin expedition ship found in Arctic ID'd as HMS Erebus,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,5,0,0,1,0,1,0,2,23,1,3,1377,0,-1,657
http://www.cbc.ca/news/canada/saskatchewan/fentanyl-traffickers-should-be-charged-with-murder-grandmother-of-victim-says-1.3180628,Fentanyl traffickers 'should be charged with murder' grandmother of victim says,0,0,0,1,0,0,0,0,0,0,0,1,0,11,0,6,0,0,1,0,1,0,2,21,1,0,3121,3,0,314
http://www.cbc.ca/news/technology/high-tech-cars-vulnerable-to-hackers-builders-tell-u-s-senator-1.2949848,High-tech cars vulnerable to hackers builders tell U.S. senator,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,6,0,0,0,1,0,1,2,13,2,0,152,3,0,134
http://www.cbc.ca/news/arts/avril-lavigne-tells-fans-she-has-health-issues-asks-for-prayers-1.2866907,Avril Lavigne tells fans she has 'health issues' asks for prayers,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,1,0,0,1,0,1,16,2,0,51,4,0,183
http://www.cbc.ca/news/technology/james-b-comey-fbi-head-calls-north-korea-a-cyber-threat-1.2892454,James B. Comey FBI head calls North Korea a cyber threat,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,4,0,1,0,0,1,0,1,12,2,0,30,8,0,162
http://www.cbc.ca/news/canada/montreal/charities-to-lobby-quebec-municipalities-for-fairer-collection-box-rules-1.3081257,Charities to lobby Quebec municipalities for fairer collection box rules,0,0,0,1,0,0,0,0,0,0,0,1,1,10,0,6,1,1,0,0,1,0,4,31,3,0,9,0,-1,1
http://www.cbc.ca/news/business/greece-still-deadlocked-with-creditors-as-tuesday-deadline-looms-1.3127431,Greece still deadlocked with creditors as Tuesday deadline looms,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,6,0,1,0,0,1,0,2,23,1,0,205,1,-1,238
http://www.cbc.ca/news/politics/vote-compass-canada-election-2015-issues-canadians-1.3222945,Vote Compass: Economy and environment rate as top issues,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,5,0,0,0,1,1,0,1,47,1,0,2063,3,1,970
http://www.cbc.ca/news/politics/isis-mission-canada-conducts-1st-airstrike-in-syria-1.3025559,ISIS mission: Canada conducts 1st airstrike in Syria,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,5,0,0,1,0,1,0,0,13,1,0,319,3,-1,1107
